4.82,769.10,95.15,49.49,835.21
22.07,204.26,22.81,90.48,831.74
24.94,31.15,43.46,18.76,891.22
30.92,573.55,23.40,22.62,219.92
31.63,716.50,51.84,10.77,462.33
13.90,918.29,22.51,95.92,247.02
21.51,399.53,7.61,68.12,565.19
12.17,813.35,6.21,0.88,274.47
29.19,531.02,21.18,93.73,857.72
9.11,124.50,40.21,44.12,544.22
12.33,60.42,46.02,85.70,123.19
20.81,745.72,99.53,97.37,303.86
15.86,365.24,45.72,63.97,354.61
29.12,137.04,76.24,2.38,843.68
23.01,482.80,4.50,11.32,603.07
20.18,514.49,24.72,22.42,732.04
8.57,334.08,66.07,71.82,934.00
15.07,309.54,93.21,83.60,374.46
27.26,964.15,28.08,36.62,80.47
3.45,478.58,10.40,25.90,632.83
20.89,686.28,18.35,43.61,591.71
8.96,952.50,71.24,87.49,39.31
9.58,333.76,83.73,68.41,513.19
6.34,528.19,73.18,28.32,389.35
3.08,868.04,44.73,8.32,921.58
13.98,181.18,69.78,49.32,750.89
15.73,271.24,81.35,59.25,104.82
31.97,632.65,91.41,72.32,608.80
7.20,188.73,46.08,36.76,955.45
28.55,308.73,62.22,25.85,434.76
22.04,373.58,36.49,5.41,690.37
1.37,316.27,3.57,56.74,162.80
29.93,303.68,50.56,5.60,198.70
31.79,948.71,19.50,73.87,130.37
24.70,81.84,10.13,61.27,554.96
12.57,603.13,66.56,86.96,766.62
26.18,872.85,57.80,99.50,465.60
20.17,71.06,46.84,88.53,683.58
5.59,701.77,15.79,98.62,890.45
